Generations;RWM1;RWM2;RWM3;RWM Avg;AWM1;AWM2;AWM3;AWM Avg;RWOM1;RWOM2;RWOM3;RWOM Avg;AWOM1;AWOM2;AWOM3;AWOM Avg
3;0,056;0,056;0,056;0,056;0,078;0,056;0,100;0,078;0,106;0,084;0,056;0,082;0,072;0,056;0,056;0,061
4;0,056;0,056;0,056;0,056;0,084;0,084;0,100;0,089;0,106;0,084;0,056;0,082;0,072;0,056;0,056;0,061
5;0,056;0,056;0,084;0,065;0,084;0,084;0,100;0,089;0,106;0,084;0,084;0,091;0,094;0,056;0,056;0,069
6;0,056;0,056;0,084;0,065;0,084;0,084;0,112;0,093;0,106;0,084;0,084;0,091;0,094;0,056;0,084;0,078
7;0,106;0,056;0,084;0,082;0,084;0,084;0,112;0,093;0,106;0,084;0,084;0,091;0,094;0,084;0,084;0,087
8;0,106;0,056;0,084;0,082;0,084;0,084;0,112;0,093;0,106;0,134;0,084;0,108;0,094;0,084;0,084;0,087
9;0,106;0,056;0,084;0,082;0,084;0,084;0,112;0,093;0,106;0,134;0,084;0,108;0,094;0,084;0,084;0,087
10;0,106;0,056;0,084;0,082;0,084;0,084;0,112;0,093;0,106;0,134;0,112;0,117;0,094;0,084;0,084;0,087
11;0,106;0,056;0,084;0,082;0,084;0,084;0,112;0,093;0,106;0,134;0,112;0,117;0,094;0,084;0,084;0,087
12;0,106;0,084;0,084;0,091;0,084;0,084;0,112;0,093;0,106;0,134;0,112;0,117;0,094;0,084;0,084;0,087
13;0,106;0,084;0,084;0,091;0,084;0,084;0,112;0,093;0,106;0,134;0,112;0,117;0,134;0,084;0,084;0,101
14;0,106;0,084;0,084;0,091;0,084;0,084;0,112;0,093;0,106;0,134;0,112;0,117;0,134;0,084;0,084;0,101
15;0,106;0,084;0,084;0,091;0,084;0,084;0,112;0,093;0,106;0,134;0,112;0,117;0,134;0,084;0,084;0,101
16;0,106;0,084;0,084;0,091;0,084;0,100;0,112;0,099;0,106;0,134;0,112;0,117;0,134;0,112;0,084;0,110
17;0,106;0,084;0,084;0,091;0,084;0,100;0,112;0,099;0,106;0,134;0,112;0,117;0,134;0,112;0,084;0,110
18;0,106;0,084;0,084;0,091;0,084;0,100;0,112;0,099;0,106;0,134;0,112;0,117;0,134;0,112;0,084;0,110
19;0,106;0,084;0,084;0,091;0,084;0,100;0,112;0,099;0,106;0,134;0,112;0,117;0,134;0,112;0,084;0,110
20;0,106;0,084;0,084;0,091;0,084;0,106;0,112;0,101;0,106;0,134;0,112;0,117;0,134;0,112;0,112;0,119
21;0,106;0,084;0,084;0,091;0,084;0,106;0,112;0,101;0,106;0,134;0,112;0,117;0,134;0,112;0,112;0,119
22;0,106;0,084;0,084;0,091;0,084;0,106;0,112;0,101;0,112;0,134;0,112;0,119;0,134;0,112;0,112;0,119
23;0,106;0,084;0,084;0,091;0,084;0,106;0,140;0,110;0,112;0,134;0,112;0,119;0,134;0,112;0,112;0,119
24;0,106;0,084;0,084;0,091;0,084;0,106;0,140;0,110;0,112;0,134;0,112;0,119;0,134;0,112;0,112;0,119
25;0,106;0,084;0,084;0,091;0,084;0,106;0,140;0,110;0,112;0,134;0,112;0,119;0,134;0,112;0,112;0,119
26;0,106;0,112;0,084;0,101;0,084;0,112;0,140;0,112;0,112;0,134;0,112;0,119;0,134;0,112;0,112;0,119
27;0,106;0,112;0,084;0,101;0,084;0,112;0,140;0,112;0,112;0,134;0,112;0,119;0,134;0,112;0,112;0,119
28;0,106;0,112;0,084;0,101;0,084;0,112;0,140;0,112;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
29;0,106;0,112;0,084;0,101;0,084;0,112;0,140;0,112;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
30;0,106;0,112;0,084;0,101;0,084;0,112;0,140;0,112;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
31;0,106;0,112;0,084;0,101;0,106;0,112;0,140;0,119;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
32;0,106;0,112;0,112;0,110;0,106;0,112;0,140;0,119;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
33;0,106;0,112;0,112;0,110;0,112;0,112;0,140;0,121;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
34;0,106;0,112;0,112;0,110;0,112;0,112;0,140;0,121;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
35;0,106;0,112;0,112;0,110;0,112;0,112;0,140;0,121;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
36;0,106;0,112;0,112;0,110;0,112;0,112;0,140;0,121;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
37;0,106;0,112;0,112;0,110;0,112;0,112;0,140;0,121;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
38;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
39;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
40;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
41;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,134;0,14;0,112;0,129;0,134;0,112;0,112;0,119
42;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,14;0,112;0,138;0,134;0,134;0,112;0,127
43;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,14;0,112;0,138;0,134;0,134;0,128;0,132
44;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,14;0,112;0,138;0,134;0,134;0,128;0,132
45;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,14;0,112;0,138;0,134;0,134;0,128;0,132
46;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,14;0,112;0,138;0,134;0,134;0,128;0,132
47;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,14;0,112;0,138;0,134;0,134;0,128;0,132
48;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,168;0,112;0,147;0,134;0,134;0,128;0,132
49;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,168;0,112;0,147;0,134;0,134;0,128;0,132
50;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,168;0,112;0,147;0,134;0,134;0,128;0,132
51;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,168;0,112;0,147;0,134;0,134;0,128;0,132
52;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,168;0,112;0,147;0,134;0,134;0,128;0,132
53;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,168;0,112;0,147;0,134;0,134;0,128;0,132
54;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,168;0,112;0,147;0,134;0,134;0,128;0,132
55;0,106;0,112;0,112;0,110;0,112;0,128;0,140;0,127;0,162;0,168;0,112;0,147;0,134;0,134;0,128;0,132
56;0,106;0,112;0,112;0,110;0,112;0,140;0,140;0,131;0,162;0,168;0,112;0,147;0,156;0,134;0,128;0,139
57;0,106;0,112;0,112;0,110;0,112;0,140;0,140;0,131;0,162;0,168;0,112;0,147;0,156;0,134;0,128;0,139
58;0,106;0,112;0,112;0,110;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,128;0,139
59;0,106;0,112;0,112;0,110;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,128;0,139
60;0,106;0,112;0,112;0,110;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,128;0,139
61;0,106;0,112;0,112;0,110;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,128;0,139
62;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
63;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
64;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
65;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
66;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
67;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
68;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
69;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
70;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
71;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
72;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
73;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
74;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,112;0,149;0,156;0,134;0,134;0,141
75;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,134;0,134;0,141
76;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
77;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
78;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
79;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
80;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
81;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
82;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
83;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
84;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
85;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
86;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
87;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
88;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
89;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
90;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
91;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
92;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
93;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,168;0,168;0,134;0,157;0,156;0,140;0,134;0,143
94;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
95;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
96;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
97;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
98;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
99;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
100;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
101;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
102;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
103;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
104;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
105;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,156;0,140;0,162;0,153
106;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
107;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
108;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
109;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
110;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
111;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
112;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
113;0,112;0,112;0,112;0,112;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
114;0,112;0,112;0,14;0,121;0,112;0,140;0,140;0,131;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
115;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
116;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
117;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
118;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
119;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,134;0,164;0,162;0,140;0,162;0,155
120;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,134;0,164;0,162;0,140;0,168;0,157
121;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
122;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
123;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
124;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
125;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
126;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
127;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
128;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
129;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
130;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
131;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
